Rate1	Rate2	 Latitudine
35.1495	34.9449	46.2299
35.4363	35.3236	46.2299
35.606	35.3393	46.2299
35.2778	35.2269	46.2298
36.2951	36.0647	46.2298
35.7134	35.5047	46.2298
35.6919	35.3103	46.2298
35.0469	34.807	46.2298
35.8961	35.6443	46.2298
35.4628	35.3813	46.2298
35.4318	35.2466	46.2299
35.8091	35.5229	46.2299
35.6716	35.3558	46.2299
36.0422	35.7306	46.2298
35.4401	35.3007	46.2298
35.7695	35.5105	46.2298
35.4895	35.4269	46.2298
35.8999	35.5505	46.2299
36.1877	35.8285	46.2298
35.344	34.9465	46.2298
35.3717	35.0455	46.2298
35.5506	35.38	46.2298
35.9967	35.6526	46.2298
35.5166	35.2604	46.2298
35.8025	35.5853	46.2298
36.2368	36.0226	46.2298
35.4628	35.3868	46.2298
35.6135	35.4389	46.2298
35.5449	35.2338	46.2298
35.7273	35.3403	46.2299
36.2178	35.9084	46.2298
35.5584	35.366	46.2299
35.5472	35.5007	46.2298
35.5863	35.4314	46.2298
35.5498	35.3074	46.2299
35.4665	35.3321	46.2298
35.7294	35.5042	46.2299
35.7174	35.6042	46.2298
35.6943	35.3245	46.2298
35.5187	35.1508	46.2298
35.5212	35.3071	46.2298
35.398	35.1565	46.2299
35.8302	35.594	46.2299
35.6488	35.3311	46.2298
36.1804	35.9664	46.2298
36.0348	35.8413	46.2298
35.5297	35.3459	46.2298
36.6839	36.305	46.2298
35.4692	35.2443	46.2298
35.7633	35.4524	46.2299
35.3737	35.0239	46.2298
35.5471	35.3491	46.2298
35.6616	35.3813	46.2299
36.5393	36.3994	46.2298
36.2745	35.9153	46.2299
35.8605	35.633	46.2299
35.5096	35.2789	46.2299
35.7194	35.4959	46.2298
35.5975	35.4031	46.2298
35.4974	35.3288	46.2298
35.3852	35.2527	46.2298
35.5704	35.305	46.2298
35.8022	35.5094	46.2299
35.964	35.5385	46.2298
35.8626	35.7555	46.2298
36.0149	35.4742	46.2298
36.249	35.6562	46.2299
35.8382	35.7437	46.2298
35.5951	35.3988	46.2298
35.7607	35.5256	46.2298
35.9478	35.7103	46.2298
36.279	35.7048	46.2298
35.5471	35.3732	46.2298
36.1396	35.6997	46.2298
35.9377	35.4909	46.2298
35.8273	35.6122	46.2298
36.0623	35.4975	46.2299
35.912	35.623	46.2298
35.6784	35.5477	46.2298
35.4002	35.1174	46.2298
35.6039	35.4283	46.2298
35.3998	35.3215	46.2298
35.8184	35.4341	46.2298
35.2071	34.8896	46.2298
35.2551	34.9849	46.2299
36.4881	36.1923	46.2299
35.4571	35.243	46.2299
35.2898	35.0185	46.2299
35.757	35.5055	46.2299
36.1982	35.7535	46.2299
35.6758	35.3127	46.2298
35.3948	34.9304	46.2299
35.5586	35.3917	46.2299
35.4051	35.3271	46.2299
35.5823	35.3524	46.2299
35.5503	35.0801	46.2299
35.6297	35.4594	46.2299
35.6585	35.548	46.2299
35.9646	35.8302	46.2299
35.7202	35.5887	46.2299
35.6047	35.4742	46.2299
35.8787	35.5036	46.2298
35.7062	35.2832	46.2298
35.4226	35.2165	46.2299
35.191	34.9044	46.2299
35.4395	35.237	46.2298
35.8669	35.6127	46.2298
35.8759	35.6314	46.2298
35.4339	35.2299	46.2298
35.9237	35.5102	46.2299
35.9147	35.5707	46.2298
35.3318	34.9922	46.2298
35.6686	35.4391	46.2298
35.5068	35.209	46.2298
35.1358	34.895	46.2299
35.4533	35.1056	46.2299
35.3939	35.1092	46.2299
34.9849	34.6853	46.2298
35.293	34.7513	46.2298
35.7585	35.5015	46.2298
35.9729	35.676	46.2298
35.7317	35.4294	46.2298
35.8045	35.5634	46.2298
35.7222	35.1592	46.2298
35.5813	35.5144	46.2298
35.435	35.1831	46.2298
35.4244	35.148	46.2298
35.8629	35.7503	46.2298
36.1957	35.8011	46.2298
35.6621	35.4821	46.2298
35.4323	35.0837	46.2298
35.2383	34.9986	46.2298
35.2079	34.8836	46.2299
35.8243	35.2063	46.2299
35.1536	34.985	46.2298
35.3977	34.9182	46.2298
35.4212	35.1596	46.2298
36.083	35.8534	46.2298
35.3019	35.0306	46.2299
35.2482	35.0629	46.2299
35.0598	34.8796	46.2299
