#Rate1	ErrRate1	Rate2	ErrRate2	Latitudine	TempOut	Longitudine	Altitudine	ChiQuadro	Pressione	NumSatelliti	Giorno	Mese	Anno
9.37952	0.102163	9.66595	0.0932831	44.501	65.1163	11.3578	71.6	0.960751	1018.17	0.0542636	28	5	2018
9.96373	0.10588	10.1529	0.0984098	44.5273	55.271	11.2519	43.2	1.15563	1017.61	7.99107	28	5	2018
9.87532	0.104325	10.1042	0.0970259	44.6203	53.291	10.8839	43.1	0.93654	1017.06	8.93805	28	5	2018
9.97154	0.103762	10.1392	0.0974747	44.7725	51.7214	10.5105	33.6	1.03325	1018.61	0.884956	28	5	2018
9.66367	0.103068	9.92333	0.0956335	44.8887	47.4059	10.0935	55.1	1.04166	1015.49	7.2193	28	5	2018
9.82233	0.104717	10.0344	0.0966952	45.0585	45.5776	9.74178	42	0.924583	1017.06	6.30357	28	5	2018
9.76976	0.105308	10.0246	0.0987701	45.0843	45.5741	9.35033	66.3	0.965118	1014.27	6.75439	28	5	2018
10.3476	0.169126	10.2467	0.156919	44.9867	44.8049	8.95246	86.1	1.25049	1012	6	28	5	2018
9.93005	0.104455	10.1522	0.0987699	44.9154	49.7758	8.81148	100.7	0.833156	1009.19	8.072	28	5	2018
9.9346	0.105654	10.1676	0.0979742	45.0891	47.982	8.50257	105.4	0.982013	1008.76	2.07207	28	5	2018
10.213	0.123825	10.3069	0.11548	45.3152	48.389	8.27212	146.4	1.14531	1003.68	6.7375	28	5	2018
10.189	0.107156	10.3677	0.0995381	45.4087	50.2035	8.01242	278.2	0.890414	990.204	6.53279	28	5	2018
10.4089	0.108077	10.5106	0.101017	45.5656	44.7566	7.80865	299.5	1.06513	987.767	2.06034	28	5	2018
10.9706	0.113312	11.0693	0.106687	45.7418	46.7953	7.54857	498.9	0.886144	964.267	6.05085	28	5	2018
12.4378	0.13329	12.3725	0.118393	45.6979	45.4741	7.1929	713.9	0.795214	940.863	2.00422	28	5	2018
11.6477	0.120163	11.6888	0.11259	45.909	44.3185	6.85063	1067.5	0.836833	897.932	5.12245	28	5	2018
11.396	0.115254	11.4654	0.111022	45.9116	47.8819	6.69303	582.1	0.824278	950.125	6.06061	28	5	2018
11.1149	0.110062	11.0021	0.10557	46.069	47.8198	6.49699	469.5	1.47448	962.43	7.2233	28	5	2018
10.883	0.11131	10.9878	0.105671	46.1122	46.3572	6.3402	437.1	0.979126	966.347	8.34952	28	5	2018
8.47557	0.107478	8.87957	0.0860757	46.1358	45.4051	6.1011	505.1	1.2785	960.13	4.06962	28	5	2018
11.0855	0.130038	11.0448	0.123763	0	42.4074	0	0	1.03852	969.351	0	28	5	2018
25.6682	0.286971	25.2395	0.28411	44.5007	30.8537	11.3567	48.6	1.26875	1005.78	1.2093	9	4	2019
25.3032	0.169633	25.1791	0.165138	44.5009	33.6434	11.3569	90.5	0.831606	1005.84	3.56354	9	4	2019
