#Rate	Latitudine	Longitudine	Altitudine	ChiQuadro	Pressione	NumSatelliti	Giorno	Mese	Anno
35.1495	46.2299	6.05072	443	0.83434	969.247	5.075	30	5	2018
35.4363	46.2299	6.05074	447.4	0.699186	969.404	5.975	30	5	2018
35.606	46.2299	6.0507	0	1.06593	969.221	6.475	30	5	2018
35.2778	46.2298	6.05071	452.3	0.760149	969.275	6.15	30	5	2018
36.2951	46.2298	6.05071	442.4	1.29564	969.021	6.53846	30	5	2018
35.7134	46.2298	6.05075	0	0.815116	969.009	6.5	30	5	2018
35.6919	46.2298	6.05082	462.7	1.32933	968.942	6.975	30	5	2018
35.0469	46.2298	6.05076	446.9	0.937375	969.059	7	30	5	2018
35.8961	46.2299	6.05086	448.1	0.974535	969.003	6.97436	30	5	2018
35.4628	46.2298	6.05079	444.3	0.719832	969.004	6.95	30	5	2018
35.4318	46.2298	6.05083	455.3	1.16518	968.9	6.625	30	5	2018
35.8091	46.2298	6.05078	0	0.87252	969.11	6.2	30	5	2018
35.6716	46.2299	6.05085	444	0.79021	969.076	6.41026	30	5	2018
36.0422	46.2298	6.05081	444.8	1.13082	968.954	7.05128	30	5	2018
35.4401	46.2298	6.05074	412.4	0.957798	969.041	7.25	30	5	2018
35.7695	46.2298	6.0507	424.5	0.844548	968.867	7.425	30	5	2018
35.4895	46.2299	6.05076	454.1	0.682075	968.875	7.125	30	5	2018
35.8999	46.2299	6.05076	441.3	1.19256	968.806	6.53846	30	5	2018
36.1877	46.2298	6.05075	447.6	0.969137	968.849	7.94872	30	5	2018
35.344	46.2298	6.0508	442.7	1.18032	968.965	6.8	30	5	2018
35.3717	46.2298	6.05075	432.5	1.09762	968.882	6.075	30	5	2018
35.5506	46.2298	6.05082	434.1	0.915674	969.03	5.675	30	5	2018
35.9967	46.2298	6.05079	440.2	1.29501	968.768	6.4359	30	5	2018
35.5166	46.2298	6.05076	428.5	0.773396	968.739	6.975	30	5	2018
35.8025	46.2298	6.05076	447.9	0.788627	968.931	6.64103	30	5	2018
36.2368	46.2298	6.05081	0	0.90004	968.749	6.71795	30	5	2018
35.4628	46.2299	6.05072	0	0.726471	968.823	7.05	30	5	2018
35.6135	46.2298	6.05076	0	1.22263	968.802	7.95	30	5	2018
35.5449	46.2298	6.05072	449.7	1.10592	968.818	8.125	30	5	2018
35.7273	46.2298	6.05079	426.8	1.2549	968.715	9	30	5	2018
36.2178	46.2298	6.0507	437.6	1.11295	968.805	8.51282	30	5	2018
35.5584	46.2299	6.05076	453.7	0.823851	968.767	8.875	30	5	2018
35.5472	46.2298	6.05077	456.9	0.678631	968.643	7.475	30	5	2018
35.5863	46.2298	6.05079	452.2	0.755093	968.791	8.07692	30	5	2018
35.5498	46.2299	6.05081	454.7	0.976551	968.595	7.69231	30	5	2018
35.4665	46.2298	6.0508	459	1.12916	968.718	5.975	30	5	2018
35.7294	46.2299	6.05082	428.6	0.728792	968.479	6.75	31	5	2018
35.7174	46.2299	6.05072	448.9	0.895579	968.616	6.76923	31	5	2018
35.6943	46.2299	6.05069	443	1.09203	968.548	7.2	31	5	2018
35.5187	46.2299	6.05072	0	1.28027	968.608	7.35	31	5	2018
35.5212	46.2299	6.05082	0	0.943347	968.542	7.35	31	5	2018
35.398	46.2298	6.05082	456.9	0.849908	968.625	8.925	31	5	2018
35.8302	46.2299	6.05077	449.5	0.880188	968.478	7.71795	31	5	2018
35.6488	46.2298	6.05076	454.2	1.02967	968.367	7.625	31	5	2018
36.1804	46.2298	6.05079	451	0.774388	968.397	8.1282	31	5	2018
36.0348	46.2297	6.0509	439.8	0.957039	968.41	7.12821	31	5	2018
35.5297	46.2298	6.05078	437.6	0.805094	968.342	7.325	31	5	2018
36.6839	46.2297	6.05071	434.1	0.869576	968.071	7.82051	31	5	2018
35.4692	46.2298	6.05076	0	0.995474	967.985	6.775	31	5	2018
35.7633	46.2297	6.05097	422.7	0.801404	968.004	7.425	31	5	2018
35.3737	46.2299	6.05077	457.9	0.967645	968.101	6.65	31	5	2018
35.5471	46.2299	6.05079	437	0.990281	968.096	6.7	31	5	2018
35.6616	46.2299	6.0507	453.2	1.18757	967.95	8.55	31	5	2018
36.5393	46.2299	6.05082	454	0.56222	967.814	7.97436	31	5	2018
36.2745	46.2299	6.05072	446.8	1.14807	968.093	7.87179	31	5	2018
35.8605	46.2299	6.05074	0	0.964402	968.248	6.075	31	5	2018
35.5096	46.2299	6.05082	0	1.07127	968.249	6.675	31	5	2018
35.7194	46.2298	6.0507	446.2	0.65	968.262	6.925	31	5	2018
35.5975	46.2298	6.05082	440.7	0.992077	968.23	6.9	31	5	2018
35.4974	46.2297	6.05072	0	0.910571	968.297	6.825	31	5	2018
35.3852	46.2298	6.05077	456	0.698671	968.459	5.85	31	5	2018
35.5704	46.2298	6.05081	0	1.30464	968.419	5.64103	31	5	2018
35.8022	46.2299	6.05073	445.3	0.840649	968.313	6.45	31	5	2018
35.964	46.2299	6.0507	0	1.18313	968.423	7.725	31	5	2018
35.8626	46.2298	6.05079	446.6	0.907787	968.209	6.75	31	5	2018
36.0149	46.2298	6.05065	454.7	1.62816	968.388	6.775	31	5	2018
36.249	46.2299	6.05079	0	1.48931	968.398	7.35	31	5	2018
35.8382	46.2298	6.0508	455.1	0.863246	968.441	7.64103	31	5	2018
