Rate1	ErrRate1	Rate2	ErrRate2	Latitudine	TempOut	Longitudine	Altitudine	ChiQuadro	Pressione	NumSatelliti	Giorno	Mese	Anno
35.1495	0.305774	34.9449	0.301104	46.2299	59.1691	6.05072	443	0.83434	969.247	5.075	30	5	2018
35.4363	0.311465	35.3236	0.304017	46.2299	60.1557	6.05074	447.4	0.699186	969.404	5.975	30	5	2018
35.2778	0.314007	35.2269	0.306344	46.2298	61.7012	6.05071	452.3	0.760149	969.275	6.15	30	5	2018
36.2951	0.316045	36.0647	0.309856	46.2298	62.5705	6.05071	442.4	1.29564	969.021	6.53846	30	5	2018
35.6919	0.309312	35.3103	0.303565	46.2298	61.2907	6.05082	462.7	1.32933	968.942	6.975	30	5	2018
35.0469	0.302834	34.807	0.300608	46.2298	63.7054	6.05076	446.9	0.937375	969.059	7	30	5	2018
35.8961	0.308932	35.6443	0.307244	46.2299	64.4126	6.05086	448.1	0.974535	969.003	6.97436	30	5	2018
35.4628	0.306545	35.3813	0.304086	46.2298	61.8012	6.05079	444.3	0.719832	969.004	6.95	30	5	2018
35.4318	0.309527	35.2466	0.304997	46.2298	62.6222	6.05083	455.3	1.16518	968.9	6.625	30	5	2018
35.6716	0.308009	35.3558	0.305325	46.2299	62.7947	6.05085	444	0.79021	969.076	6.41026	30	5	2018
36.0422	0.305459	35.7306	0.308182	46.2298	63.9434	6.05081	444.8	1.13082	968.954	7.05128	30	5	2018
35.4401	0.308006	35.3007	0.306465	46.2298	62.4428	6.05074	412.4	0.957798	969.041	7.25	30	5	2018
35.7695	0.30695	35.5105	0.306295	46.2298	61.2079	6.0507	424.5	0.844548	968.867	7.425	30	5	2018
35.4895	0.308233	35.4269	0.308527	46.2299	63.4432	6.05076	454.1	0.682075	968.875	7.125	30	5	2018
35.8999	0.311381	35.5505	0.307511	46.2299	65.2163	6.05076	441.3	1.19256	968.806	6.53846	30	5	2018
36.1877	0.309622	35.8285	0.309234	46.2298	63.3708	6.05075	447.6	0.969137	968.849	7.94872	30	5	2018
35.344	0.315339	34.9465	0.300183	46.2298	61.9875	6.0508	442.7	1.18032	968.965	6.8	30	5	2018
35.3717	0.301128	35.0455	0.302996	46.2298	65.2198	6.05075	432.5	1.09762	968.882	6.075	30	5	2018
35.5506	0.314291	35.38	0.304807	46.2298	62.6188	6.05082	434.1	0.915674	969.03	5.675	30	5	2018
35.9967	0.316811	35.6526	0.307087	46.2298	62.8361	6.05079	440.2	1.29501	968.768	6.4359	30	5	2018
35.5166	0.311899	35.2604	0.305575	46.2298	60.7594	6.05076	428.5	0.773396	968.739	6.975	30	5	2018
35.8025	0.309795	35.5853	0.306406	46.2298	62.429	6.05076	447.9	0.788627	968.931	6.64103	30	5	2018
35.5449	0.302108	35.2338	0.303615	46.2298	64.2125	6.05072	449.7	1.10592	968.818	8.125	30	5	2018
35.7273	0.312424	35.3403	0.30442	46.2298	65.8683	6.05079	426.8	1.2549	968.715	9	30	5	2018
36.2178	0.316535	35.9084	0.308457	46.2298	63.0086	6.0507	437.6	1.11295	968.805	8.51282	30	5	2018
35.5584	0.31611	35.366	0.304281	46.2299	65.2853	6.05076	453.7	0.823851	968.767	8.875	30	5	2018
35.5472	0.318139	35.5007	0.305485	46.2298	66.8377	6.05077	456.9	0.678631	968.643	7.475	30	5	2018
35.5863	0.304735	35.4314	0.306446	46.2298	64.3988	6.05079	452.2	0.755093	968.791	8.07692	30	5	2018
35.5498	0.306101	35.3074	0.305066	46.2299	64.0504	6.05081	454.7	0.976551	968.595	7.69231	30	5	2018
35.4665	0.311664	35.3321	0.304825	46.2298	64.6541	6.0508	459	1.12916	968.718	5.975	30	5	2018
35.7294	0.313495	35.5042	0.307329	46.2299	64.5333	6.05082	428.6	0.728792	968.479	6.75	31	5	2018
35.7174	0.310546	35.6042	0.306138	46.2299	65.9684	6.05072	448.9	0.895579	968.616	6.76923	31	5	2018
35.6943	0.311732	35.3245	0.310582	46.2299	64.278	6.05069	443	1.09203	968.548	7.2	31	5	2018
35.398	0.311932	35.1565	0.30268	46.2298	64.2849	6.05082	456.9	0.849908	968.625	8.925	31	5	2018
35.8302	0.303886	35.594	0.30622	46.2299	64.2435	6.05077	449.5	0.880188	968.478	7.71795	31	5	2018
35.6488	0.306164	35.3311	0.304003	46.2298	62.9189	6.05076	454.2	1.02967	968.367	7.625	31	5	2018
36.1804	0.32153	35.9664	0.317517	46.2298	61.6736	6.05079	451	0.774388	968.397	8.1282	31	5	2018
36.0348	0.311808	35.8413	0.308839	46.2297	63.1328	6.0509	439.8	0.957039	968.41	7.12821	31	5	2018
35.5297	0.299042	35.3459	0.304899	46.2298	63.7537	6.05078	437.6	0.805094	968.342	7.325	31	5	2018
36.6839	0.321408	36.305	0.313126	46.2297	65.375	6.05071	434.1	0.869576	968.071	7.82051	31	5	2018
35.7633	0.30885	35.4524	0.306331	46.2297	65.6441	6.05097	422.7	0.801404	968.004	7.425	31	5	2018
35.3737	0.303496	35.0239	0.300903	46.2299	62.2117	6.05077	457.9	0.967645	968.101	6.65	31	5	2018
35.5471	0.311537	35.3491	0.304824	46.2299	64.5195	6.05079	437	0.990281	968.096	6.7	31	5	2018
35.6616	0.306608	35.3813	0.305056	46.2299	63.7778	6.0507	453.2	1.18757	967.95	8.55	31	5	2018
36.5393	0.319987	36.3994	0.314772	46.2299	65.4751	6.05082	454	0.56222	967.814	7.97436	31	5	2018
36.2745	0.312838	35.9153	0.309155	46.2299	64.7713	6.05072	446.8	1.14807	968.093	7.87179	31	5	2018
35.7194	0.319007	35.4959	0.312451	46.2298	64.3539	6.0507	446.2	0.65	968.262	6.925	31	5	2018
35.5975	0.316772	35.4031	0.30451	46.2298	61.5494	6.05082	440.7	0.992077	968.23	6.9	31	5	2018
35.3852	0.304694	35.2527	0.30405	46.2298	64.04	6.05077	456	0.698671	968.459	5.85	31	5	2018
35.8022	0.30348	35.5094	0.306093	46.2299	63.9883	6.05073	445.3	0.840649	968.313	6.45	31	5	2018
35.8626	0.313802	35.7555	0.306691	46.2298	62.7223	6.05079	446.6	0.907787	968.209	6.75	31	5	2018
36.0149	0.295851	35.4742	0.305449	46.2298	62.5187	6.05065	454.7	1.62816	968.388	6.775	31	5	2018
35.8382	0.307482	35.7437	0.308571	46.2298	62.7981	6.0508	455.1	0.863246	968.441	7.64103	31	5	2018
35.7607	0.319002	35.5256	0.306266	46.2298	61.9702	6.05075	423.5	1.17238	968.711	6.15	31	5	2018
35.9478	0.309453	35.7103	0.307802	46.2298	61.4252	6.05081	442	1.1495	968.681	6.66667	31	5	2018
36.279	0.297483	35.7048	0.306178	46.2298	62.0392	6.05081	453.8	1.42341	968.945	5.9	31	5	2018
36.1396	0.306849	35.6997	0.308468	46.2298	62.1013	6.05071	423.2	1.05214	968.793	7.48718	31	5	2018
35.9377	0.31525	35.4909	0.307537	46.2298	63.0189	6.05085	441.9	1.09012	968.727	6.85	31	5	2018
35.8273	0.31566	35.6122	0.308126	46.2298	62.4187	6.05079	436.5	0.833019	968.705	5.8	31	5	2018
36.0623	0.303233	35.4975	0.305559	46.2298	62.0599	6.05072	435.7	1.45236	968.861	5.975	31	5	2018
35.912	0.325082	35.623	0.314314	46.2298	61.5597	6.05083	443.9	0.997837	968.708	6.775	31	5	2018
35.6784	0.311191	35.5477	0.307706	46.2298	62.1048	6.05083	433	1.09273	968.674	6.38462	31	5	2018
35.4002	0.310228	35.1174	0.30312	46.2298	61.5045	6.05068	443.8	1.0626	968.933	5.325	31	5	2018
35.3998	0.32102	35.3215	0.309362	46.2298	61.3872	6.05081	443.7	0.763968	968.941	7.325	31	5	2018
35.8184	0.309914	35.4341	0.306253	46.2298	60.6249	6.05081	434.7	1.23115	969.104	7.15	31	5	2018
35.2551	0.312338	34.9849	0.301359	46.2298	60.7318	6.05087	442.4	1.18712	969.037	6.525	31	5	2018
35.4571	0.306878	35.243	0.304181	46.2299	61.2182	6.05075	429.1	1.02371	969.013	5.05	31	5	2018
36.1982	0.30788	35.7535	0.308403	46.2299	61.4252	6.05075	440.5	0.948858	969.34	6.97436	31	5	2018
35.6758	0.299324	35.3127	0.303946	46.2299	59.2312	6.05068	433.3	1.09154	969.619	6.475	31	5	2018
35.3948	0.305889	34.9304	0.302328	46.2298	59.3347	6.05071	427	1.40038	969.527	6.75	31	5	2018
35.5823	0.30112	35.3524	0.303647	46.2299	59.9281	6.05074	425.9	0.942446	969.656	5.675	31	5	2018
35.5503	0.297137	35.0801	0.303829	46.2299	58.3033	6.05079	442.1	1.18543	969.65	5.625	31	5	2018
35.6297	0.307051	35.4594	0.305684	46.2299	57.5237	6.05071	441.2	0.546413	969.721	6	31	5	2018
35.6585	0.306543	35.548	0.304285	46.2299	58.355	6.05074	449.1	0.4378	969.628	6.475	31	5	2018
35.7202	0.312918	35.5887	0.306993	46.2299	57.6927	6.0509	461.7	0.487245	969.92	5.97436	31	5	2018
35.7062	0.313362	35.2832	0.3034	46.2298	58.355	6.05073	442.7	1.32171	970.193	7.85	31	5	2018
35.4226	0.315971	35.2165	0.30209	46.2298	56.5957	6.05071	458.9	0.978551	970.226	7	31	5	2018
35.191	0.303262	34.9044	0.301697	46.2299	56.4094	6.05077	441.5	0.907684	970.216	7.15	31	5	2018
35.4395	0.310687	35.237	0.302757	46.2298	55.7229	6.05078	455.3	0.778746	970.159	8	31	5	2018
35.8669	0.317823	35.6127	0.310204	46.2298	55.0572	6.05077	428.5	0.883082	970.219	7.69231	31	5	2018
35.4339	0.301507	35.2299	0.30321	46.2298	52.9391	6.05079	449.2	1.19095	969.789	5.18367	31	5	2018
35.9237	0.310912	35.5102	0.304587	46.2299	65.6889	6.05072	441.6	1.19763	972.565	4.3	31	5	2018
35.9147	0.306416	35.5707	0.306008	46.2298	65.3164	6.05063	455.3	1.31152	972.643	5.10256	31	5	2018
35.6686	0.303705	35.4391	0.306307	46.2298	62.3876	6.05085	441.8	0.868781	972.664	5	31	5	2018
35.5068	0.307353	35.209	0.302248	46.2298	64.1435	6.05086	448.5	0.736513	972.795	4.725	31	5	2018
35.1358	0.301404	34.895	0.302147	46.2299	64.2332	6.05086	446.1	0.789236	972.721	5.275	31	5	2018
35.3939	0.309674	35.1092	0.301937	46.2299	64.8852	6.05085	446.9	0.936763	972.92	5.35	31	5	2018
34.9849	0.305385	34.6853	0.302989	46.2298	64.8403	6.05077	429.8	1.16538	972.819	4.2	31	5	2018
35.293	0.299693	34.7513	0.299524	46.2299	64.2987	6.05084	452.8	1.47729	973	4.925	31	5	2018
35.7585	0.297966	35.5015	0.30656	46.2299	64.5126	6.05077	444.5	1.08951	973.01	5.23077	31	5	2018
35.9729	0.306967	35.676	0.306698	46.2298	63.8261	6.05083	442.7	1.0406	972.942	3.61538	31	5	2018
35.7317	0.313618	35.4294	0.30651	46.2298	67.6414	6.05076	447.3	0.85616	973.019	4.875	31	5	2018
35.8045	0.310111	35.5634	0.305854	46.2298	66.0029	6.05073	461.6	0.814882	973.05	5.2	31	5	2018
35.7222	0.297942	35.1592	0.303108	46.2298	65.5958	6.05086	442.4	1.46301	973.003	5.575	31	5	2018
35.5813	0.317672	35.5144	0.308915	46.2298	64.7299	6.05085	443.3	0.760213	972.995	5.575	31	5	2018
35.435	0.303203	35.1831	0.302887	46.2298	63.2811	6.05076	420.9	0.984604	973.026	6.15	31	5	2018
35.4244	0.310917	35.148	0.302674	46.2298	64.1401	6.05066	444.3	1.03308	972.844	5.8	31	5	2018
35.8629	0.310079	35.7503	0.30728	46.2297	65.4854	6.05073	455.9	0.76716	972.97	7.12821	31	5	2018
36.1957	0.315114	35.8011	0.308333	46.2299	62.5429	6.05087	457.8	1.55469	972.999	4.175	31	5	2018
35.6621	0.313154	35.4821	0.304368	46.2298	64.2642	6.05076	421.3	0.751196	973.056	4.45	31	5	2018
35.2383	0.29852	34.9986	0.301556	46.2298	64.6196	6.05081	443.7	0.851637	973.023	5.675	31	5	2018
35.2079	0.305382	34.8836	0.299797	46.2298	64.6609	6.0508	456	0.870647	973.031	5.725	31	5	2018
35.8243	0.299471	35.2063	0.302918	46.23	64.3677	6.05078	449.1	1.76779	972.938	6.675	31	5	2018
35.1536	0.301178	34.985	0.300925	46.2298	62.6153	6.05076	447.3	1.04518	972.736	6.325	31	5	2018
35.4212	0.302286	35.1596	0.303835	46.2298	62.6222	6.05079	442.4	0.915131	972.844	6.125	31	5	2018
36.083	0.315121	35.8534	0.309611	46.2297	64.1056	6.05073	419	0.951743	972.968	5.97436	31	5	2018
35.3019	0.310349	35.0306	0.302641	46.2299	62.2876	6.05081	463.3	1.03203	973.007	6.35	31	5	2018
35.2482	0.307682	35.0629	0.302345	46.2299	64.5023	6.05079	443.1	1.14631	972.954	7.875	31	5	2018
35.0598	0.303454	34.8796	0.301539	46.2299	64.4022	6.05079	458.7	0.799395	973.131	5.9	31	5	2018
35.0151	0.302137	34.7698	0.300029	46.2299	63.5571	6.05083	443.1	0.77097	973.113	6.225	31	5	2018
35.5812	0.308038	35.4478	0.306474	46.2299	66.1477	6.05083	450.1	0.818759	972.893	5.23077	1	6	2018
35.4991	0.303437	35.0252	0.302572	46.2299	63.5502	6.05083	450	1.09829	972.943	5.05	1	6	2018
35.1704	0.3056	34.9262	0.300652	46.2299	64.109	6.05084	443.4	0.829016	973.069	5.55	1	6	2018
35.2308	0.310963	35.0473	0.303477	46.2299	62.3566	6.05074	451.6	0.963972	973.018	4.575	1	6	2018
35.1975	0.307009	35.069	0.301703	46.2299	62.8154	6.05085	431	0.733884	973.073	4.65	1	6	2018
35.8578	0.316835	35.657	0.306614	46.2298	63.5605	6.05074	445.3	0.949759	972.921	5.84615	1	6	2018
35.9119	0.300818	35.5482	0.305306	46.2298	64.5609	6.05074	439	1.00125	973.049	6.25	1	6	2018
35.1732	0.303374	34.8946	0.300302	46.2298	64.3401	6.05078	426.8	0.901941	973.155	5.875	1	6	2018
35.6609	0.304628	35.3661	0.30488	46.2299	64.8403	6.05081	446.4	0.81524	973.157	3.925	1	6	2018
35.6028	0.317046	35.2271	0.303761	46.2298	62.16	6.05081	442	1.15857	973.251	4.3	1	6	2018
35.3274	0.300747	34.9569	0.304515	46.2298	61.3562	6.05076	436.4	0.914769	973.195	5.525	1	6	2018
35.0848	0.300862	34.5931	0.301083	46.2299	64.0193	6.05068	447.9	1.31636	973.036	5.75	1	6	2018
35.8388	0.308442	35.6295	0.306809	46.2298	63.4777	6.05089	441.9	0.815633	973.264	5.48718	1	6	2018
35.7208	0.301033	35.3376	0.304759	46.2298	64.4678	6.05079	454.7	1.08864	973.267	6.275	1	6	2018
36.0134	0.31478	35.6849	0.30796	46.2299	59.9315	6.05076	445.3	0.821166	973.26	5.30769	1	6	2018
35.6772	0.308531	35.4897	0.305288	46.2299	62.0082	6.05072	446.8	0.750099	973.268	4.575	1	6	2018
34.8875	0.29259	34.5028	0.298683	46.2298	60.5559	6.05074	435.4	1.22011	973.367	4.85	1	6	2018
35.3427	0.30631	34.8801	0.302654	46.2299	62.1393	6.05071	448.1	0.911157	973.297	5.4	1	6	2018
35.7481	0.30055	35.4336	0.30553	46.2299	61.1492	6.05076	444.3	0.863836	973.281	5.94872	1	6	2018
35.1646	0.314594	34.9515	0.309488	46.2298	59.8798	6.05088	428.7	0.607392	972.929	4.875	1	6	2018
35.4492	0.306128	35.1655	0.306634	46.2299	63.3846	6.05078	452.5	0.83957	973.042	6.325	1	6	2018
35.1611	0.310573	34.8777	0.299913	46.2298	64.2194	6.0508	457.4	1.0085	972.901	5.15	1	6	2018
35.3124	0.300721	35.0295	0.302541	46.2298	61.7736	6.05073	437.7	0.937478	972.948	6	1	6	2018
35.307	0.298587	34.9314	0.301323	46.2299	61.0492	6.05077	445.3	1.12605	972.825	4.85	1	6	2018
35.3964	0.306758	35.0595	0.302058	46.2299	63.1121	6.05085	459.2	1.15143	973.018	4.125	1	6	2018
35.3265	0.30589	34.9144	0.300239	46.2298	61.9254	6.0509	443.3	1.61487	972.964	3.85	1	6	2018
35.2872	0.313827	35.07	0.30279	46.2299	63.833	6.05079	453.1	0.975916	973.032	5.075	1	6	2018
35.2978	0.312155	35.313	0.309775	46.2298	63.5157	6.05081	452	0.934062	973.065	5.55	1	6	2018
35.4385	0.30676	35.1789	0.302884	46.2298	61.9461	6.05089	425.2	0.849901	973.047	4.4	1	6	2018
34.9836	0.301931	34.6165	0.298629	46.2299	63.3846	6.05089	404.3	1.03751	973.052	5.15	1	6	2018
35.0699	0.306789	34.8159	0.300237	46.2299	62.5808	6.05084	441.4	0.886054	972.959	5.4	1	6	2018
35.8887	0.303817	35.5718	0.305228	46.2297	62.3049	6.05081	463.8	0.967862	972.92	6	1	6	2018
35.1128	0.303853	34.9931	0.302588	46.2297	63.0017	6.05084	445.6	0.663952	972.992	5.4	1	6	2018
36.0344	0.310904	35.7849	0.307907	46.2299	62.2566	6.05083	448.1	0.853154	972.857	4.89744	1	6	2018
35.4784	0.311537	35.206	0.309599	46.2298	63.7261	6.05083	437.2	1.01472	973.011	4.55	1	6	2018
34.9703	0.30224	34.7809	0.300674	46.2298	62.1427	6.05087	441	0.847105	973.005	5.6	1	6	2018
36.1084	0.313101	35.7592	0.306847	46.2298	62.0461	6.05076	449.8	1.11819	973.078	4.5641	1	6	2018
35.2087	0.304251	34.9779	0.302231	46.2297	61.8633	6.0508	429.5	0.744887	973.127	4.85	1	6	2018
35.449	0.307207	35.1327	0.303319	46.2299	60.5628	6.05069	436.8	1.06646	973.264	6.05	1	6	2018
35.6123	0.328434	35.4569	0.311806	46.2299	59.5037	6.05075	434.2	0.827946	973.322	5.675	1	6	2018
35.1242	0.306073	34.9323	0.301443	46.2299	60.9802	6.05087	461.9	0.82998	973.352	5.1	1	6	2018
34.6625	0.297794	34.5076	0.299444	46.2299	61.6839	6.05079	441.9	0.917918	973.326	4.97561	1	6	2018
35.3214	0.305326	35.0923	0.301848	46.2299	64.7679	6.05081	455.3	0.846341	973.504	5	1	6	2018
34.9458	0.303064	34.6637	0.306554	46.2299	60.1419	6.05077	453.5	0.873198	973.427	4.275	1	6	2018
34.8292	0.302686	34.5951	0.299247	46.2299	61.0354	6.05075	453.5	0.972386	973.479	5.7	1	6	2018
34.8226	0.30574	34.7156	0.298773	46.2298	60.8181	6.05088	450.6	0.951023	973.418	5.725	1	6	2018
35.6755	0.300694	35.1687	0.303766	46.2298	60.0695	6.05074	444.1	1.15424	973.63	5.525	1	6	2018
35.2706	0.318709	35.1555	0.303629	46.2298	59.4382	6.05069	449.2	0.833289	973.665	5.65	1	6	2018
35.9433	0.303422	35.5992	0.306004	46.2299	59.8694	6.05071	436.8	1.22546	973.669	6.85	1	6	2018
35.4008	0.305482	35.1794	0.302418	46.2299	59.0829	6.05079	451.9	0.780742	973.773	6.5	1	6	2018
35.4439	0.307884	35.1991	0.304438	46.2299	56.8061	6.05087	447.6	0.645342	973.746	5.275	1	6	2018
35.8064	0.315474	35.5447	0.303978	46.2298	61.1768	6.05087	441.5	0.906231	973.575	5.275	1	6	2018
35.4376	0.307684	35.3116	0.304117	46.2298	59.7452	6.0508	453.5	0.784915	973.711	4.975	1	6	2018
35.6302	0.307692	35.2489	0.302881	46.2298	60.5386	6.05084	439.4	1.20165	973.612	4.55	1	6	2018
35.6128	0.306633	34.9035	0.302095	46.2298	59.314	6.05089	447	1.47856	973.665	4	1	6	2018
35.5052	0.306445	35.2235	0.30319	46.2299	52.156	6.05071	421.1	0.863592	973.618	7.775	1	6	2018
35.002	0.310085	34.962	0.301947	46.2299	49.762	6.0508	414.2	0.792555	973.684	6.475	1	6	2018
35.8342	0.309154	35.4015	0.307213	46.2299	48.4304	6.05073	434.9	1.10272	973.663	6.925	1	6	2018
35.5495	0.301016	35.2812	0.303697	46.2298	48.3028	6.0507	446.1	1.16465	973.676	7.15	1	6	2018
35.253	0.305987	34.9227	0.301664	46.2298	50.1345	6.05083	462.1	1.00447	973.635	6.7	1	6	2018
36.1128	0.310978	35.6373	0.306027	46.2299	49.3722	6.05078	459.4	1.19842	973.681	7.125	1	6	2018
35.4291	0.3119	35.1767	0.303574	46.2298	49.6412	6.05082	452.5	1.05551	973.694	7.55	1	6	2018
35.1533	0.302702	34.8175	0.300252	46.2298	48.9065	6.05081	462	1.26162	973.649	7.525	1	6	2018
35.8315	0.32009	35.7161	0.30659	46.2299	50.1552	6.05078	445.3	0.985972	973.608	6.825	1	6	2018
35.725	0.304443	35.5033	0.306416	46.2298	48.8099	6.05073	427.4	0.787358	973.557	6.225	1	6	2018
35.5314	0.315031	35.3216	0.306151	46.2299	47.7577	6.05082	442	0.886965	973.618	5.975	1	6	2018
35.6866	0.309396	35.5187	0.3068	46.2298	47.023	6.05073	439.8	1.03571	973.57	6.325	1	6	2018
35.0828	0.304052	34.8551	0.298847	46.2299	45.5224	6.05071	449.1	0.782892	973.585	5.87805	1	6	2018
35.2373	0.304181	34.9785	0.295148	46.2298	45.3188	6.05078	448.3	1.18019	973.383	6.02381	1	6	2018
35.906	0.307689	35.5748	0.305749	46.2298	44.6807	6.05082	438.8	0.878538	973.521	5.6	1	6	2018
34.5837	0.308139	34.5016	0.298483	46.2299	43.3629	6.05079	446.1	0.510792	973.309	6.875	1	6	2018
35.1062	0.304948	35.0569	0.303446	46.2298	43.2801	6.05079	445.5	1.06239	973.181	6.05	1	6	2018
35.6445	0.307025	35.4395	0.304755	46.2299	40.5721	6.05078	449.9	1.10976	973.088	7.05	1	6	2018
35.5127	0.30595	35.3076	0.303329	46.2299	41.5449	6.05084	441.1	0.849684	973.049	6.625	1	6	2018
35.1874	0.301223	34.8451	0.300657	46.2298	43.4215	6.05077	448.2	1.21681	972.992	6.975	1	6	2018
35.0716	0.304588	34.904	0.302281	46.2298	43.525	6.05078	450.4	0.89879	972.879	6.65	1	6	2018
34.9167	0.308848	34.8987	0.301569	46.2299	42.1762	6.05077	452.5	0.443845	972.966	6.525	1	6	2018
35.4088	0.307119	35.2293	0.303441	46.2299	45.1498	6.05078	456.4	0.855822	973.155	7.2	1	6	2018
34.9708	0.304502	34.8406	0.301484	46.2298	46.4331	6.05082	469.3	0.821039	973.061	5.825	1	6	2018
35.1466	0.292711	34.855	0.299895	46.2299	47.2989	6.05072	445.2	1.19744	972.8	6.9	1	6	2018
34.8354	0.304442	34.6303	0.298959	46.2298	45.0291	6.05081	450.8	1.01788	972.823	6.25	1	6	2018
34.9091	0.302538	34.8175	0.300106	46.2298	45.8397	6.05087	440.3	0.959729	972.738	5	1	6	2018
35.1358	0.304196	34.8918	0.300981	46.23	44.4633	6.05066	398.4	0.917838	972.793	5.6	1	6	2018
35.1635	0.302882	35.0137	0.302993	46.2298	43.4284	6.05084	438.9	0.647398	972.633	7.825	1	6	2018
35.4849	0.308393	35.3937	0.304519	46.2299	44.8807	6.05086	473.5	0.62226	972.67	7.975	1	6	2018
35.7378	0.299033	35.2441	0.30427	46.2299	44.5944	6.05081	443.4	1.2872	972.706	7.825	1	6	2018
35.3764	0.304175	35.0616	0.301405	46.2299	45.0567	6.05082	447.4	1.16527	972.621	7.7	1	6	2018
35.256	0.304623	35.106	0.302201	46.2298	43.6527	6.05082	447.8	0.722728	972.694	8	1	6	2018
36.0597	0.485478	35.5922	0.457704	46.2297	45.4085	6.05078	439.3	0.941624	972.527	8	1	6	2018
35.3278	0.30804	35.1233	0.301824	46.2298	58.8621	6.05088	437.3	1.20332	973.062	5.34	1	6	2018
35.7446	0.306433	35.2917	0.303148	46.2299	55.3814	6.05069	438.8	1.16797	973.158	6.6	1	6	2018
35.892	0.304761	35.5462	0.305583	46.2298	57.2235	6.05079	444.2	1.58895	973.072	6.525	1	6	2018
35.5582	0.547282	35.1329	0.520046	46.2299	57.0993	6.05065	447.6	0.820426	973.148	6	1	6	2018
36.0107	0.298017	35.431	0.305213	46.2298	59.0656	6.05077	447.1	1.44586	973.143	7.55	1	6	2018
35.5783	0.309345	35.3033	0.303315	46.2299	55.6402	6.0508	454.2	0.915814	973.257	6.525	1	6	2018
35.3839	0.309087	35.0719	0.301628	46.2299	57.7651	6.05083	458.9	1.02047	973.243	6.4	1	6	2018
35.6408	0.305902	35.2973	0.303678	46.2299	57.2649	6.05084	451.5	1.05334	973.213	5.3	1	6	2018
